abk,abhaasi,Abkhaz, ,Käytä
ace,aceh,Achinese, 
ada,adangme,Adangme, 
ady,adyge,Adygei,Aikaisempi koodi: cau
aar,afar,Afar, 
afh,afrihili (keinotekoinen kieli),Afrihili (Artificial language), 
afr,afrikaans,Afrikaans, 
afa,afroaasialaiset kielet,Afroasiatic languages,Käytä yksilöimättömille afroaasialaisille kielille
aym,aimara,Aymara, 
ain,ainu,Ainu,Aikaisempi koodi: mis
aka,akan,Akan, 
akk,akkadi,Akkadian, 
nds,alasaksa,Low German,Aikaisempi koodi: gem
dsb,alasorbi,Lower Sorbian,Aikaisempi koodi: wen
alb,albania,Albanian, 
ale,aleutti,Aleut, 
alg,algonkin-kielet,Algonquian languages,Käytä yksilöimättömille algonkin-kielille
alt,altai,Souther Altai,Aikaisempi koodi: tut
tut,altailaiset kielet,Altaic languages,Käytä yksilöimättömille altailaisille kielille
amh,amhara,Amharic, 
anp,angika,Angika,Aikaisempi koodi: bih
apa,apassikielet,Apache languages,Käytä yksilöimättömille apassikielille
ara,arabia,Arabic, 
arg,aragonia,Aragonese Spanish,Aikaisempi koodi: spa
arc,aramea,Aramaic, 
arp,arapho,Arapaho, 
arn,araukaani,Mapudungun, 
arw,arawak,Arawak, 
arm,armenia,Armenian, 
rup,aromania,"Aromanian, Arumanian, Macedo-Romanian", 
asm,assami,Assamese, 
ast,asturia,Bable,Aikaisempi koodi: spa
ath,athapasca-kielet,Athapascan languages,Käytä yksilöimättömille athapasca-kielille
ach,atsoli,Acoli, 
aus,australialaiset kielet,Australian languages,Käytä yksilöimättömille australialaisille kielille
map,austronesialaiset kielet,Austronesian languages,Käytä yksilöimättömille austronesialaisille kielille
ava,avaari,Avaric, 
ave,avesta,Avestan, 
awa,awadhi,Awadhi, 
aze,azeri,Azerbaijani, 
ban,bali,Balinese, 
bat,balttilaiset kielet,Baltic languages,Käytä yksilöimättömille balttilaisille kielille
bam,bambara,Bambara, 
bai,bamileke-kielet,Bamileke languages,Käytä yksilöimättömille bamileke-kielille
bad,banda,Banda languages, 
bnt,bantukielet,Bantu languages,Käytä yksilöimättömille bantukielille
bas,basa (bantukielet),Basa, 
baq,baski,Basque, 
bak,baskiiri,Bashkir, 
btk,batak,Batak languages, 
bej,bedza,Beja, 
bal,belutsi,Baluchi, 
bem,bemba,Bemba, 
ben,bengali,Bengali, 
ber,berberikielet,Berber languages,Käytä yksilöimättömille berberikielille
bho,bhodzpuri,Bhojpuri, 
bih,bihari,Bihari languages, 
bik,bikol,Bikol, 
byn,bilin,Bilin,Aikaisempi koodi: cus
bin,bini,Bini, 
bis,bislama,Bislama, 
zbl,Bliss-symbolit,Blissymbolics, 
bos,bosnia,Bosnian, 
bra,bradz,Braj, 
bre,bretoni,Breton, 
bug,bugi,Bugis, 
bul,bulgaria,Bulgarian, 
bua,burjaatti,Buriat, 
bur,burma,Burmese, 
cad,caddo,Caddo, 
ceb,cebuano,Cebuano, 
chr,cherokee,Cherokee, 
chy,cheyenne,Cheyenne, 
chn,chinook-jargon,Chinook jargon, 
chp,chipewyan,Chipewyan, 
cho,choctaw,Choctaw, 
chk,chuuk,Chukeese,Aikaisempi koodi: tru
cre,cree,Cree, 
mus,creek,Creek, 
day,dajakki,Land Dayak languages, 
dak,dakota,Dakota, 
dar,dargi,Dargwa,Aikaisempi koodi: cau
del,delaware,Delaware, 
din,dinka,Dinka, 
div,divehi,Divehi, 
dyu,djula,Dyula, 
doi,dogri,Dogri, 
dgr,dogrip,Dogrib, 
dra,dravidakielet,Dravidian languages,Käytä yksilöimättömille dravidakielille
dua,duala,Duala, 
dzo,dzongkha,Dzongkha, 
efi,efik,Efik, 
eka,ekajuk,Ekajuk, 
elx,elami,Elamite, 
eng,englanti,English, 
cpe,englantiin perustuvat kreolit ja pidginit,"Creoles and Pidgins, English-based",Käytä yksilöimättömille englantiin perustuville kreoli- ja pidginkielille
myv,ersä,Erzya,Aikaisempi koodi: fiu
spa,espanja,Spanish, 
epo,esperanto,Esperanto,Aikaisempi koodi: esp
sai,Etelä-Amerikan intiaanikielet,South American Indian languages,Käytä yksilöimättömille Etelä-Amerikan intiaanikielille
ewe,ewe,Ewe, 
ewo,ewondo,Ewondo, 
fao,fääri,Faroese,Aikaisempi koodi: far
fan,fang,Fang, 
fat,fanti,Fanti, 
per,"farsi, persia",Persian, 
fij,fidzi,Fijian, 
fil,filipino,Filipino, 
phi,filippiiniläiset kielet,Philippine languages,Käytä yksilöimättömille filippiiniläisille kielille
phn,foinikia,Phoenician, 
fon,fon,Fon, 
frs,"friisi, itä-",Eastern Frisian, 
fry,"friisi, länsi-",Western Frisian,Aikaisempi koodi: fri
frr,"friisi, pohjois-",Northern Frisian, 
fur,friuli,Friulian, 
ful,fulani,Fula, 
gaa,ga,Ga, 
gla,gaeli,Scottish Gaelic,Aikaisempi koodi: gae
gay,gajo,Gayo, 
glg,galicia,Galician,Aikaisempi koodi: gag
lug,ganda,Ganda, 
gba,gbaja,Gbaya, 
gez,ge'ez,Ethiopic,Aikaisempi koodi: eth
geo,georgia,Georgian, 
gem,germaaniset kielet,Germanic languages,Käytä yksilöimättömille germaanisille kielille
gon,gondi,Gondi, 
got,gootti,Gothic, 
gor,gorontalo,Gorontalo, 
grb,grebo,Grebo, 
grn,guarani,Guarani,Aikaisempi koodi: gua
guj,gudzarati,Gujarati, 
gwi,gwitsin,Gwich'in, 
hai,haida,Haida, 
hat,haiti,Haitian French Creole,Aikaisempi koodi: cpf
hau,hausa,Hausa, 
haw,havaiji,Hawaiian, 
hit,heetti,Hittite, 
heb,heprea,Hebrew, 
her,herero,Herero, 
hil,hiligaino,Hiligaynon, 
him,himatsali,"Himachali languages, western Pahari languages", 
hin,hindi,Hindi, 
hmo,hiri-motu,Hiri Motu, 
hmn,hmong,Hmong, 
dut,hollanti,Dutch, 
hup,hupa,Hupa, 
iba,iban,Iban, 
ido,ido,Ido,Aikaisempi koodi: art
ijo,idzo,Ijo languages, 
ibo,igbo,Igbo, 
gle,iiri,Irish,Aikaisempi koodi: iri
ilo,iloko,Iloko, 
inc,indoarjalaiset kielet,Indic languages,Käytä yksilöimättömille indoarjalaisille kielille
ine,indoeurooppalaiset kielet,Indo-European languages,Käytä yksilöimättömille indoeurooppalaisille kielille
ind,indonesia,Indonesian, 
inh,inguusi,Ingush,Aikaisempi koodi: cau
ina,interlingua,Interlingua (International Auxiliary Language Association),Aikaisempi koodi: int
ile,interlingue,Interlingue, 
iku,inuktitut,Inuktitut, 
ipk,inupiatun,Inupiaq, 
ira,iranilaiset kielet,Iranian languages,Käytä yksilöimättömille iranilaisille kielille
iro,irokeesikielet,Iroquoian languages,Käytä yksilöimättömille irokeesikielille
ice,islanti,Icelandic, 
ita,italia,Italian, 
jav,jaava,Javanese, 
sah,jakuutti,Yakut, 
yao,jao,Yao (Africa), 
jpn,japani,Japanese, 
yap,japi,Yapese, 
yid,jiddis,Yiddish, 
yor,joruba,Yoruba, 
ypk,jupikkikielet,Yupik languages,Aikaisempi koodi: esk
jrb,juutalaisarabia,Judeo-Arabic, 
jpr,juutalaispersia,Judeo-Persian, 
kbd,kabardi,Kabardian,Aikaisempi koodi: cau
kab,kabyyli,Kabyle, 
kac,kachin,Kachin, 
kal,"kalaallisut, grönlanti",Kalâtdlisut, 
xal,kalmukki,Kalmyk,Aikaisempi koodi: tut
kam,kamba,Kamba, 
kan,kannada,Kannada, 
kau,kanuri,Kanuri, 
kaa,karakalpakki,Kara-Kalpak, 
krc,karatsai-balkaari,Karachary-Balkar,Aikaisempi koodi: tut
kar,karen,Karen languages, 
car,karibi,Galibi Carib, 
krl,karjala,Karelian,Aikaisempi koodi: fiu
kas,kasmiri,Kashmiri, 
csb,kasubi,Kashubian,Aikaisempi koodi: sla
cat,katalaani,Catalan, 
cau,kaukasialaiset kielet,Caucasian languages,Käytä yksilöimättömille kaukasialaisille kielille
kaw,kavi,Kawi, 
kaz,kazakki,Kazakh, 
art,keinotekoiset kielet,Artificial languages,Käytä yksilöimättömille keinotekoisille kielille
cel,kelttiläiset kielet,Celtic languages,Käytä yksilöimättömille kelttiläisille kielille
cai,Keski-Amerikan intiaanikielet,Central American Indian languages,Käytä yksilöimättömille Keski-Amerikan intiaanikielille
enm,keskienglanti (n. 1100-1500),"English, Middle (1100-1500)", 
dum,keskihollanti (n. 1050-1350),"Dutch, Middle (ca. 1050-1350)", 
mga,keski-iiri (n. 1100-1550),"Irish, Middle (ca. 1100-1550)", 
frm,keskiranska (n. 1400-1600),"French, Middle (ca. 1400-1600)", 
gmh,keskiyläsaksa (n. 1050-1500),"German, Middle High (ca. 1050-1500)", 
que,ketsua,Quechua, 
kha,khasi,Khasi, 
khm,khmer,Central Khmer,Aikaisempi koodi: cam
