Koodi	Maara	Maa	Osuus
eng	2382560	englanti	34.249343025737176
fin	1758905	suomi	25.284291138390742
ger	844620	saksa	12.141427752668614
swe	651172	ruotsi	9.360609259265381
rus	350325	venäjä	5.035928201384803
fre	262252	ranska	3.7698772359082775
dan	75158	tanska	1.080397607249494
nor	64205	norja	0.9229480344534682
lat	63820	latina	0.917413652500901
ita	56875	italia	0.8175791520838098
spa	46075	espanja	0.6623289570507523
zxx	43599	ei kielellistä sisältöä	0.626736412337618
mul	39431	useita kieliä	0.5668213370693047
est	39047	viro	0.561301330134796
hun	26643	unkari	0.3829936061357177
pol	25252	puola	0.36299795601618223
dut	17696	hollanti	0.25438031956527646
|||	17018	ei koodattu	0.24463405732153448
und	14302	määrittelemätön	0.20559150827433229
cze	9184	tsekki	0.13202016585033335
por	8881	portugali	0.12766453537857256
chi	8379	kiina	0.12044827631314713
rum	7680	romania	0.11040013869017423
jpn	7090	japani	0.10191887803559053
grc	5751	muinaiskreikka (-1453)	0.08267072885510313
ukr	4839	ukraina	0.06956071238564494
lit	4537	liettua	0.06521945693194277
lav	4426	latvia	0.06362382992743634
bul	4197	bulgaria	0.06033195079201318
gre	4140	kreikka (1453-)	0.05951257476267205
ice	3963	islanti	0.05696819656629693
ara	3891	arabia	0.055933195266076555
tur	2752	turkki	0.03956004969731244
smi	2737	saamelaiskielet	0.03934442442643318
slo	2552	slovakki	0.036685046085589146
kor	2268	korea	0.03260254095694208
srp	1943	serbia	0.02793066008789174
chm	1924	mari	0.02765753474477802
epo	1463	esperanto	0.021030651419755846
bel	1434	valkovenäjä	0.02061377589605597
per	1404	farsi	0.020182525354297477
hrv	1401	kroatia	0.020139400300121627
hin	1339	hindi	0.01924814918048741
cat	1280	katalaani	0.018400023115029036
kom	1273	komi (komipermjakki	0.018299397988618724
mac	1166	makedonia	0.016761271056346765
heb	1142	heprea	0.01641627062293997
alb	1091	albania	0.015683144701950532
slv	1021	sloveeni	0.014676893437847381
fiu	928	suomalais-ugrilaiset kielet	0.013340016758396054
udm	914	udmurtti	0.013138766505575423
